Project,Station,Region,Longitude,Latitude,Data_types,Dates_sampled
EMP,NZ032,Suisun Marsh,-122.02083,38.17028,Zooplankton,9/19/2018 10/18/2018
FMWT,513,River,-121.86842,38.0592,Zooplankton Microcystis,9/10/2018 9/24/2018 10/5/2018 10/22/2018
FMWT,606,Suisun Marsh,-122.02177,38.1698,Zooplankton Microcystis smelt catch,9/7/2018 10/4/2018
FMWT,802,River,-121.83875,38.03528,Zooplankton Microcystis,9/7/2018 9/24/2018 10/4/2018 10/22/2018
FMWT,Mont,Suisun Marsh,-121.90889,38.14386,Zooplankton Microcystis,9/24/2018 10/9/2018 10/22/2018
TNS,513,Suisun Marsh,-121.864,38.05946,Zooplankton Microcystis,7/11/2018 7/25/2018 8/8/2018 8/22/2018
TNS,520,River,-121.86931,38.03281,Zooplankton Microcystis,7/11/2018 7/26/2018 8/8/2018 8/22/2018
TNS,606,Suisun Marsh,-122.02201,38.16776,Zooplankton Microcystis smelt catch,7/12/2018 7/26/2018 8/9/2018 8/23/2018
TNS,609,Suisun Marsh,-121.938,38.16719,Zooplankton Microcystis smelt catch,7/12/2018 7/26/2018 8/9/2018 8/23/2018
TNS,610,Suisun Marsh,-121.88919,38.11881,Zooplankton Microcystis smelt catch,7/12/2018 7/26/2018 8/9/2018 8/23/2018
TNS,801,River,-121.847,38.05561,Zooplankton Microcystis,7/11/2018 7/26/2018 8/9/2018 8/22/2018
TNS,Mont,Suisun Marsh,-121.90889,38.14386,Zooplankton Microcystis,7/26/2018 8/9/2018 8/23/2018
DWR,Collinsville,River,-121.850123,38.073981,Chlorophyll temperature salinity turbidity,Continuous July-October
DWR,National Steel,Suisun Marsh,-121.8881,38.1221,Chlorophyll temperature salinity turbidity,Continuous July-October
DWR,Beldon Landing,Suisun Marsh,-121.9708,38.1869,Chlorophyll temperature salinity turbidity,Continuous July-October
DWR,Hunter Cut,Suisun Marsh,-122.0527,38.156,Chlorophyll temperature salinity turbidity,Continuous July-October
DWR,Salinity Control Gates,Suisun Marsh,-121.8872,38.0934,NA,NA
